URL	method	time,max-age	post-params
https://k.river.go.jp/swin/geo/area/rough/38000.json	GET	22.865000006277114	max-age=3600	
https://www.river.go.jp/e/obsGeo/all.json	GET	27.97399996779859		
https://k.river.go.jp/swin/geo/area/rough/13000.json	GET	4.587999952491373	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/19000.json	GET	4.827999975532293	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/44000.json	GET	4.452999972272664	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/21000.json	GET	6.783999968320131	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/42000.json	GET	4.2699999758042395	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/17000.json	GET	7.486999966204166	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/15000.json	GET	10.7029999489896	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/40000.json	GET	5.7280000182799995	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/34000.json	GET	4.520000016782433	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/36000.json	GET	4.226000048220158	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/04000.json	GET	4.958999983500689	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/27000.json	GET	3.3650000113993883	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/29000.json	GET	3.7200000369921327	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/25000.json	GET	3.513999981805682	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/02000.json	GET	6.03899999987334	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/08000.json	GET	4.498999973293394	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/30000.json	GET	3.8219999987632036	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/06000.json	GET	4.103000042960048	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/23000.json	GET	3.876000002492219	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/32000.json	GET	4.029000003356487	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/46000.json	GET	4.483000026084483	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/11000.json	GET	4.263000038918108	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/16000.json	GET	4.603999957907945	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/41000.json	GET	3.343000018503517	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/39000.json	GET	4.205000004731119	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/37000.json	GET	3.6589999799616635	max-age=3600	
https://k.river.go.jp/swin/geo/area/rough/18000.json	GET	6.833999999798834	max-age=3600	
